target_set,overlap_size,target_set_size,hit_list_size,universe_size,p_value,overlap_hits,fdr
SPINT2,0,46,138,13176,1.0,"",1.0
RD3,0,30,138,13176,1.0,"",1.0
CD83,0,91,138,13176,1.0,"",1.0
COPZ2,0,31,138,13176,1.0,"",1.0
PCSK9,2,109,138,13176,0.3166460851864065,"Ezetimibe_3.82_J18_plate_41002946,Glycerol_3.34_P22_plate_41002889",1.0
HDAC8,1,109,138,13176,0.6841210453832496,Glycerol_3.34_P22_plate_41002889,1.0
MAK,0,46,138,13176,1.0,"",1.0
UMPS,2,126,138,13176,0.3812489205535354,"Glycerol_3.34_P22_plate_41002889,2,2'-Oxybis(ethan-1-ol)_0.48_P18_plate_41002883",1.0
CAMK1G,0,48,138,13176,1.0,"",1.0
MCM4,0,123,138,13176,1.0,"",1.0
GLI3,0,32,138,13176,1.0,"",1.0
CDX2,0,46,138,13176,1.0,"",1.0
PFDN5,0,31,138,13176,1.0,"",1.0
ADGRE5,1,45,138,13176,0.3778624634650871,Disulfiram_3.82_I17_plate_41002692,1.0
FOLR1,0,74,138,13176,1.0,"",1.0
MFN2,2,60,138,13176,0.13038774883454665,"Cyclosporin A_3.34_P19_plate_41002701,Melatonin_3.82_D16_plate_41002692",1.0
LRRC2,0,32,138,13176,1.0,"",1.0
SHBG,0,169,138,13176,1.0,"",1.0
PRSS23,0,121,138,13176,1.0,"",1.0
SLC44A3,0,45,138,13176,1.0,"",1.0
TRAIP,0,31,138,13176,1.0,"",1.0
SLC2A2,0,14,138,13176,1.0,"",1.0
PROKR2,4,415,138,13176,0.6362234612595857,"Cyproheptadine_3.82_F03_plate_41002897,Phentolamine_3.82_N16_plate_41002897,Clomipramine_3.82_F03_plate_41002878,Chlorpromazine_3.82_B03_plate_41002878",1.0
TSHZ1,0,30,138,13176,1.0,"",1.0
LMF1,0,47,138,13176,1.0,"",1.0
HIVEP3,0,47,138,13176,1.0,"",1.0
ANO7,0,16,138,13176,1.0,"",1.0
GGA2,0,30,138,13176,1.0,"",1.0
EMP2,0,61,138,13176,1.0,"",1.0
LPCAT2,0,47,138,13176,1.0,"",1.0
IDH2,1,61,138,13176,0.47467216633255205,Glycerol_3.34_P22_plate_41002889,1.0
RNU6ATAC,0,30,138,13176,1.0,"",1.0
FNBP4,0,32,138,13176,1.0,"",1.0
SYNE3,0,60,138,13176,1.0,"",1.0
EPB41L4A-AS1,0,45,138,13176,1.0,"",1.0
GET1,0,48,138,13176,1.0,"",1.0
DRD3,8,732,138,13176,0.5028614698331704,"Astemizole_3.82_E10_plate_41002878,Astemizole_3.34_J02_plate_41002889,Cyproheptadine_3.82_F03_plate_41002897,Clomipramine_3.82_F03_plate_41002878,Levomepromazine_3.82_L15_plate_41002897,Phentolamine_3.82_N16_plate_41002897,Chlorpromazine_3.82_B03_plate_41002878,Melatonin_3.82_D16_plate_41002692",1.0
VAV2,0,15,138,13176,1.0,"",1.0
YJU2,1,30,138,13176,0.27109701643053735,Disulfiram_3.82_I17_plate_41002692,1.0
USH1C,0,16,138,13176,1.0,"",1.0
APOB,0,76,138,13176,1.0,"",1.0
ARHGEF6,1,32,138,13176,0.28632057245144965,Glycerol_3.34_P22_plate_41002889,1.0
MRPL33,1,91,138,13176,0.6176533504119434,Cyclosporin A_3.34_P19_plate_41002701,1.0
CCR6,0,31,138,13176,1.0,"",1.0
B3GAT1,0,32,138,13176,1.0,"",1.0
B4GALNT4,0,16,138,13176,1.0,"",1.0
MAFK,1,59,138,13176,0.4634411826267809,Cyclosporin A_3.34_P19_plate_41002701,1.0
H3-3A,0,32,138,13176,1.0,"",1.0
ANXA2P2,0,46,138,13176,1.0,"",1.0
ITPRIP,0,47,138,13176,1.0,"",1.0
ST8SIA2,0,30,138,13176,1.0,"",1.0
NAT9,0,16,138,13176,1.0,"",1.0
TTLL11,0,32,138,13176,1.0,"",1.0
ARL15,1,32,138,13176,0.28632057245144965,Glycerol_3.34_P22_plate_41002889,1.0
HBEGF,1,195,138,13176,0.8736206316529473,Disulfiram_3.82_I17_plate_41002692,1.0
HAUS4,0,48,138,13176,1.0,"",1.0
FEN1,2,106,138,13176,0.30506029684840336,"5-Azacytidine_2.86_I02_plate_41002951,Fludarabine_2.36_N13_plate_41002955",1.0
PAWR,2,47,138,13176,0.08677524032914452,"Bortezomib_0.95_N08_plate_41002875,Bortezomib_1.43_O21_plate_41002945",1.0
PCYT1B,1,32,138,13176,0.28632057245144965,Glycerol_3.34_P22_plate_41002889,1.0
ZNF875,0,32,138,13176,1.0,"",1.0
MYO19,0,48,138,13176,1.0,"",1.0
DNAH8,0,16,138,13176,1.0,"",1.0
NPBWR1,5,506,138,13176,0.6157174464158243,"Cyproheptadine_3.82_F03_plate_41002897,Clomipramine_3.82_F03_plate_41002878,Phentolamine_3.82_N16_plate_41002897,Chlorpromazine_3.82_B03_plate_41002878,Melatonin_3.82_D16_plate_41002692",1.0
RARA,3,330,138,13176,0.6759052218248904,"Mitoxantrone_1.82_D06_plate_41002882,Glycerol_3.34_P22_plate_41002889,Mitoxantrone_1.43_D11_plate_41002703",1.0
GAS2L1,0,47,138,13176,1.0,"",1.0
DENND2B,0,15,138,13176,1.0,"",1.0
ECT2,0,30,138,13176,1.0,"",1.0
MED31,0,60,138,13176,1.0,"",1.0
CCSAP,0,16,138,13176,1.0,"",1.0
FES,0,94,138,13176,1.0,"",1.0
ASPM,0,60,138,13176,1.0,"",1.0
SLCO1B3,17,810,138,13176,0.004711823935959417,"Rilpivirine_1.43_M01_plate_41002703,Cyclosporin A_3.34_P19_plate_41002701,Baricitinib_3.34_N13_plate_41002701,Bortezomib_1.43_O21_plate_41002945,Olmesartan_3.82_K13_plate_41002692,Bortezomib_0.95_N08_plate_41002875,Mycophenolate Mofetil_3.34_J19_plate_41002701,Sildenafil_2.36_P23_plate_41002689,Lopinavir_3.82_F09_plate_41002897,Cobicistat_3.82_I05_plate_41002693,Atazanavir_3.82_B10_plate_41002896,Pexidartinib_1.43_L07_plate_41002703,Lopinavir_3.34_O01_plate_41002700,Sulfasalazine_3.34_O23_plate_41002701,Lurbinectedin_3.82_O22_plate_41002877,Lopinavir_3.82_O13_plate_41002692,Pexidartinib_3.34_D19_plate_41002892",1.0
ACSL4,2,62,138,13176,0.13748499867623679,"Triclosan_3.82_F22_plate_41002946,Triclosan_3.82_D24_plate_41002877",1.0
DUSP1,3,145,138,13176,0.19451532483918116,"Capsaicin_3.34_P14_plate_41002701,Capsaicin_3.82_F24_plate_41002878,Erlotinib_1.43_J23_plate_41002703",1.0
ATG7,2,104,138,13176,0.2973169003298004,"Cyclosporin A_3.34_P19_plate_41002701,Atazanavir_3.82_B10_plate_41002896",1.0
SLC6A11,1,120,138,13176,0.7189518970465567,Clomipramine_3.82_F03_plate_41002878,1.0
ADISSP,0,32,138,13176,1.0,"",1.0
EEF1A1,0,61,138,13176,1.0,"",1.0
CEACAM6,0,61,138,13176,1.0,"",1.0
NDUFA2,1,44,138,13176,0.3712551847178332,Metformin_3.34_J22_plate_41002701,1.0
FH,1,64,138,13176,0.4910825008349675,Glycerol_3.34_P22_plate_41002889,1.0
BMP1,0,31,138,13176,1.0,"",1.0
SLC25A18,0,31,138,13176,1.0,"",1.0
CDK8,2,90,138,13176,0.24294290882209493,"Metformin_3.34_J22_plate_41002701,Glycerol_3.34_P22_plate_41002889",1.0
GNG11,0,89,138,13176,1.0,"",1.0
folP,0,46,138,13176,1.0,"",1.0
COX8A,0,32,138,13176,1.0,"",1.0
ANGPT1,0,106,138,13176,1.0,"",1.0
PRNP,2,107,138,13176,0.30892647697920195,"Chlorpromazine_3.82_B03_plate_41002878,Glycerol_3.34_P22_plate_41002889",1.0
RIMKLB,0,32,138,13176,1.0,"",1.0
ART5,0,30,138,13176,1.0,"",1.0
PPP1R14C,0,77,138,13176,1.0,"",1.0
PSMB8,3,77,138,13176,0.04693517771592341,"Carfilzomib_2.36_P05_plate_41002886,Bortezomib_0.95_N08_plate_41002875,Bortezomib_1.43_O21_plate_41002945",1.0
MTHFD1L,0,77,138,13176,1.0,"",1.0
SDF2,0,32,138,13176,1.0,"",1.0
MCFD2,0,31,138,13176,1.0,"",1.0
MYO5A,1,107,138,13176,0.6773426673512546,Glycerol_3.34_P22_plate_41002889,1.0
SCCPDH,0,30,138,13176,1.0,"",1.0
MEIS3,0,31,138,13176,1.0,"",1.0
KIAA0513,0,32,138,13176,1.0,"",1.0
PDE6A,1,61,138,13176,0.47467216633255205,Glycerol_3.34_P22_plate_41002889,1.0
CDH13,0,47,138,13176,1.0,"",1.0
BRD1,1,62,138,13176,0.48019982481872137,Cyclosporin A_3.34_P19_plate_41002701,1.0
ASCC3,0,46,138,13176,1.0,"",1.0
SNHG29,0,32,138,13176,1.0,"",1.0
HMX2,0,75,138,13176,1.0,"",1.0
SRXN1,0,108,138,13176,1.0,"",1.0
GRHL3,0,107,138,13176,1.0,"",1.0
SNRPN,0,31,138,13176,1.0,"",1.0
VWA5A,0,16,138,13176,1.0,"",1.0
PAK3,0,104,138,13176,1.0,"",1.0
SLC16A14,0,77,138,13176,1.0,"",1.0
SLC38A6,0,46,138,13176,1.0,"",1.0
ARAF,0,61,138,13176,1.0,"",1.0
ITPR2,1,74,138,13176,0.5421944501490569,Glycerol_3.34_P22_plate_41002889,1.0
CCNG2,3,133,138,13176,0.16327477406526042,"Metformin_3.34_J22_plate_41002701,Bortezomib_0.95_N08_plate_41002875,Bortezomib_1.43_O21_plate_41002945",1.0
PTPN22,0,62,138,13176,1.0,"",1.0
SEMA3G,1,60,138,13176,0.46908615608088705,Cyclosporin A_3.34_P19_plate_41002701,1.0
YWHAQ,0,45,138,13176,1.0,"",1.0
PDYN,0,60,138,13176,1.0,"",1.0
RNPS1,0,30,138,13176,1.0,"",1.0
SLC25A3,1,30,138,13176,0.27109701643053735,Cyclosporin A_3.34_P19_plate_41002701,1.0
NDUFA4,1,46,138,13176,0.38440080632106327,Metformin_3.34_J22_plate_41002701,1.0
ILVBL,1,46,138,13176,0.38440080632106327,Glycerol_3.34_P22_plate_41002889,1.0
INSIG1,2,161,138,13176,0.5049049842692938,"Cyclosporin A_3.34_P19_plate_41002701,Disulfiram_3.82_I17_plate_41002692",1.0
FASTKD2,0,32,138,13176,1.0,"",1.0
CA12,3,516,138,13176,0.9110781449638318,"2,2'-Oxybis(ethan-1-ol)_0.48_P18_plate_41002883,Furosemide_3.82_E01_plate_41002946,Metolazone_3.34_G01_plate_41002892",1.0
FABP4,0,169,138,13176,1.0,"",1.0
TAS2R60,1,123,138,13176,0.7277706110145585,Melatonin_3.82_D16_plate_41002692,1.0
ZNF711,0,45,138,13176,1.0,"",1.0
ABCA8,1,75,138,13176,0.5470163983920299,Cyclosporin A_3.34_P19_plate_41002701,1.0
NHEG1,0,16,138,13176,1.0,"",1.0
NEFL,0,44,138,13176,1.0,"",1.0
ICAM4,0,31,138,13176,1.0,"",1.0
UBR7,0,32,138,13176,1.0,"",1.0
HCFC2,0,32,138,13176,1.0,"",1.0
SOS1,0,60,138,13176,1.0,"",1.0
SYNJ2,1,104,138,13176,0.6669034377456655,Cyclosporin A_3.34_P19_plate_41002701,1.0
CHST13,0,16,138,13176,1.0,"",1.0
PPP1R3C,3,150,138,13176,0.20794859137568544,"Cyclosporin A_3.34_P19_plate_41002701,Disulfiram_3.82_I17_plate_41002692,Atazanavir_3.82_B10_plate_41002896",1.0
CTAG1B,0,47,138,13176,1.0,"",1.0
KCNQ3,1,43,138,13176,0.3645782486263414,Cyclosporin A_3.34_P19_plate_41002701,1.0
CRH,0,93,138,13176,1.0,"",1.0
TPK1,0,15,138,13176,1.0,"",1.0
GJA4,0,45,138,13176,1.0,"",1.0
RANBP3,1,32,138,13176,0.28632057245144965,Glycerol_3.34_P22_plate_41002889,1.0
CAPG,0,16,138,13176,1.0,"",1.0
ADI1,0,75,138,13176,1.0,"",1.0
SH3BGRL,1,78,138,13176,0.5611817867206136,Glycerol_3.34_P22_plate_41002889,1.0
GANC,1,45,138,13176,0.3778624634650871,Cyclosporin A_3.34_P19_plate_41002701,1.0
INPP5A,0,60,138,13176,1.0,"",1.0
GAL3ST2,0,16,138,13176,1.0,"",1.0
DPAGT1,0,48,138,13176,1.0,"",1.0
EIF4EBP1,1,90,138,13176,0.6135782934422834,Cyclosporin A_3.34_P19_plate_41002701,1.0
COMMD3,0,46,138,13176,1.0,"",1.0
CYP2D6,35,2614,138,13176,0.06627850420302044,"Nevirapine_3.34_N14_plate_41002956,Bortezomib_1.43_O21_plate_41002945,Bortezomib_0.95_N08_plate_41002875,Mirabegron_3.82_O22_plate_41002878,Rolapitant_3.82_N08_plate_41002897,Chlorpromazine_3.82_B03_plate_41002878,Lopinavir_3.82_O13_plate_41002692,Amlodipine_3.82_N07_plate_41002897,Astemizole_3.34_J02_plate_41002889,Fesoterodine_3.34_L07_plate_41002890,Terbinafine_3.34_G18_plate_41002957,Levomepromazine_3.82_L15_plate_41002897,Lopinavir_3.82_F09_plate_41002897,Atenolol_3.82_P11_plate_41002878,Nicergoline_3.34_L17_plate_41002701,Ixazomib_2.36_M08_plate_41002898,Rilpivirine_1.43_M01_plate_41002703,Entacapone_3.82_A15_plate_41002693,Amlodipine_3.34_C02_plate_41002892,Sildenafil_2.36_P23_plate_41002689,Ixazomib_2.86_L10_plate_41002905,Cyclosporin A_3.34_P19_plate_41002701,Darifenacin_3.82_G11_plate_41002692,Astemizole_3.82_E10_plate_41002878,Encorafenib_3.82_I09_plate_41002946,Rifapentine_3.82_M11_plate_41002693,Atenolol_2.86_G22_plate_41002951,Erlotinib_1.43_J23_plate_41002703,Darifenacin_3.82_E17_plate_41002878,Clomipramine_3.82_F03_plate_41002878,Fesoterodine_3.34_E11_plate_41002893,Cobicistat_3.82_I05_plate_41002693,Glycerol_3.34_P22_plate_41002889,Encorafenib_3.82_F14_plate_41002877,Lopinavir_3.34_O01_plate_41002700",1.0
ZNF644,0,48,138,13176,1.0,"",1.0
ZBTB18,0,16,138,13176,1.0,"",1.0
SOX2-OT,0,30,138,13176,1.0,"",1.0
KCNK3,0,32,138,13176,1.0,"",1.0
NDST3,0,30,138,13176,1.0,"",1.0
ZAP70,0,32,138,13176,1.0,"",1.0
LEAP2,0,32,138,13176,1.0,"",1.0
CD38,1,59,138,13176,0.4634411826267809,Sulfasalazine_3.34_O23_plate_41002701,1.0
ACSF2,0,48,138,13176,1.0,"",1.0
PTEN,3,245,138,13176,0.4750886810089221,"5-Azacytidine_2.86_I02_plate_41002951,Fludarabine_2.36_N13_plate_41002955,Glycerol_3.34_P22_plate_41002889",1.0
EIF4G2,0,32,138,13176,1.0,"",1.0
IRF9,0,75,138,13176,1.0,"",1.0
CNN2,0,32,138,13176,1.0,"",1.0
CLU,0,106,138,13176,1.0,"",1.0
NCAPG,0,46,138,13176,1.0,"",1.0
MYH9,0,31,138,13176,1.0,"",1.0
DNAJC15,1,106,138,13176,0.6738995253851606,Glycerol_3.34_P22_plate_41002889,1.0
GEN1,0,32,138,13176,1.0,"",1.0
ADGRA2,0,31,138,13176,1.0,"",1.0
COX7C,0,78,138,13176,1.0,"",1.0
CLCNKB,0,30,138,13176,1.0,"",1.0
RPS6KA1,1,93,138,13176,0.6256759102500924,"2,2'-Oxybis(ethan-1-ol)_0.48_P18_plate_41002883",1.0
SOX8,2,74,138,13176,0.1815997509529264,"Cyclosporin A_3.34_P19_plate_41002701,Disulfiram_3.82_I17_plate_41002692",1.0
MCC,0,30,138,13176,1.0,"",1.0
TAS2R19,1,107,138,13176,0.6773426673512546,Melatonin_3.82_D16_plate_41002692,1.0
REEP4,0,30,138,13176,1.0,"",1.0
PAQR3,0,32,138,13176,1.0,"",1.0
PALM,0,16,138,13176,1.0,"",1.0
PPM1F,1,47,138,13176,0.39087092732088696,Glycerol_3.34_P22_plate_41002889,1.0
SCN11A,0,337,138,13176,1.0,"",1.0
MRPL52,0,48,138,13176,1.0,"",1.0
OSBP2,0,47,138,13176,1.0,"",1.0
PCDHB10,0,30,138,13176,1.0,"",1.0
LARP6,0,48,138,13176,1.0,"",1.0
RSPO1,1,32,138,13176,0.28632057245144965,Glycerol_3.34_P22_plate_41002889,1.0
LHB,0,47,138,13176,1.0,"",1.0
HAUS8,0,30,138,13176,1.0,"",1.0
CEP57L1,1,46,138,13176,0.38440080632106327,Cyclosporin A_3.34_P19_plate_41002701,1.0
RSL1D1,0,32,138,13176,1.0,"",1.0
ALS2CL,0,62,138,13176,1.0,"",1.0
F11,1,32,138,13176,0.28632057245144965,Glycerol_3.34_P22_plate_41002889,1.0
APBB2,0,30,138,13176,1.0,"",1.0
SNRPD1,0,47,138,13176,1.0,"",1.0
SLCO1B1,18,1207,138,13176,0.07964817119122236,"Rilpivirine_1.43_M01_plate_41002703,Cyclosporin A_3.34_P19_plate_41002701,Olmesartan_3.82_K13_plate_41002692,Mycophenolate Mofetil_3.34_J19_plate_41002701,Sildenafil_2.36_P23_plate_41002689,Triclosan_3.82_F22_plate_41002946,Lopinavir_3.82_F09_plate_41002897,Cobicistat_3.82_I05_plate_41002693,Ezetimibe_3.82_J18_plate_41002946,Atazanavir_3.82_B10_plate_41002896,Pexidartinib_1.43_L07_plate_41002703,Triclosan_3.82_D24_plate_41002877,Lopinavir_3.34_O01_plate_41002700,Artesunate_3.34_O23_plate_41002890,Sulfasalazine_3.34_O23_plate_41002701,Lurbinectedin_3.82_O22_plate_41002877,Lopinavir_3.82_O13_plate_41002692,Pexidartinib_3.34_D19_plate_41002892",1.0
UGT2B17,0,92,138,13176,1.0,"",1.0
OXGR1,1,123,138,13176,0.7277706110145585,Melatonin_3.82_D16_plate_41002692,1.0
CSGALNACT1,0,77,138,13176,1.0,"",1.0
FANCA,0,30,138,13176,1.0,"",1.0
NME1-NME2,2,46,138,13176,0.08363703494617729,"Disulfiram_3.82_I17_plate_41002692,Glycerol_3.34_P22_plate_41002889",1.0
DDX5,0,61,138,13176,1.0,"",1.0
ND2,1,46,138,13176,0.38440080632106327,Metformin_3.34_J22_plate_41002701,1.0
RASSF1,0,77,138,13176,1.0,"",1.0
ASB13,0,58,138,13176,1.0,"",1.0
ABAT,0,75,138,13176,1.0,"",1.0
PPP1R9A,1,61,138,13176,0.47467216633255205,Glycerol_3.34_P22_plate_41002889,1.0
IVNS1ABP,1,75,138,13176,0.5470163983920299,Metformin_3.34_J22_plate_41002701,1.0
FBXL9P,0,32,138,13176,1.0,"",1.0
NCOA1,0,89,138,13176,1.0,"",1.0
RDH14,0,46,138,13176,1.0,"",1.0
ZBTB16,1,91,138,13176,0.6176533504119434,Glycerol_3.34_P22_plate_41002889,1.0
CSTF3,0,61,138,13176,1.0,"",1.0
HDAC7,0,93,138,13176,1.0,"",1.0
TAP2,1,73,138,13176,0.5373215488085691,Disulfiram_3.82_I17_plate_41002692,1.0
XRCC3,0,48,138,13176,1.0,"",1.0
GNAI2,1,123,138,13176,0.7277706110145585,Melatonin_3.82_D16_plate_41002692,1.0
ABHD11,0,60,138,13176,1.0,"",1.0
CASR,1,138,138,13176,0.7679087653194222,Melatonin_3.82_D16_plate_41002692,1.0
dacA,0,14,138,13176,1.0,"",1.0
B4GALT7,0,46,138,13176,1.0,"",1.0
HMGCS1,1,93,138,13176,0.6256759102500924,Glycerol_3.34_P22_plate_41002889,1.0
BBS7,0,32,138,13176,1.0,"",1.0
SHOC1,0,31,138,13176,1.0,"",1.0
USF1,0,46,138,13176,1.0,"",1.0
FIGNL1,1,60,138,13176,0.46908615608088705,Cyclosporin A_3.34_P19_plate_41002701,1.0
ADAM19,0,106,138,13176,1.0,"",1.0
CLASP1,1,32,138,13176,0.28632057245144965,Glycerol_3.34_P22_plate_41002889,1.0
EYA2,0,44,138,13176,1.0,"",1.0
ALG13,0,16,138,13176,1.0,"",1.0
MEST,0,31,138,13176,1.0,"",1.0
GNA11,0,32,138,13176,1.0,"",1.0
SLC34A2,0,30,138,13176,1.0,"",1.0
SHH,0,59,138,13176,1.0,"",1.0
ATF6B,0,31,138,13176,1.0,"",1.0
FPGS,0,29,138,13176,1.0,"",1.0
GPC6,0,107,138,13176,1.0,"",1.0
FAM234B,0,79,138,13176,1.0,"",1.0
PPDPF,0,32,138,13176,1.0,"",1.0
CHGA,1,105,138,13176,0.6704199100216062,Disulfiram_3.82_I17_plate_41002692,1.0
DBN1,0,59,138,13176,1.0,"",1.0
ATP6V0B,0,32,138,13176,1.0,"",1.0
PPP2R2C,0,75,138,13176,1.0,"",1.0
LYPD1,0,77,138,13176,1.0,"",1.0
F2R,1,108,138,13176,0.6807497154731864,Glycerol_3.34_P22_plate_41002889,1.0
rpsN,0,45,138,13176,1.0,"",1.0
CAB39L,0,32,138,13176,1.0,"",1.0
DLX3,1,59,138,13176,0.4634411826267809,Cyclosporin A_3.34_P19_plate_41002701,1.0
SERPINE1,4,373,138,13176,0.5516247456235197,"Triclosan_3.82_F22_plate_41002946,Cyclosporin A_3.34_P19_plate_41002701,Atazanavir_3.82_B10_plate_41002896,Triclosan_3.82_D24_plate_41002877",1.0
P4HB,1,47,138,13176,0.39087092732088696,Glycerol_3.34_P22_plate_41002889,1.0
RCBTB2,0,48,138,13176,1.0,"",1.0
LXN,0,77,138,13176,1.0,"",1.0
ZNF266,1,46,138,13176,0.38440080632106327,Cyclosporin A_3.34_P19_plate_41002701,1.0
SP6,0,45,138,13176,1.0,"",1.0
MPHOSPH9,0,30,138,13176,1.0,"",1.0
SLC25A20,0,32,138,13176,1.0,"",1.0
ADAT3,0,46,138,13176,1.0,"",1.0
FLT3,5,182,138,13176,0.042505418012411755,"Erlotinib_1.43_J23_plate_41002703,Ceritinib_3.34_D18_plate_41002889,Nintedanib_3.82_J18_plate_41002878,Pexidartinib_1.43_L07_plate_41002703,Pexidartinib_3.34_D19_plate_41002892",1.0
GART,0,77,138,13176,1.0,"",1.0
PTPRF,1,90,138,13176,0.6135782934422834,"2,2'-Oxybis(ethan-1-ol)_0.48_P18_plate_41002883",1.0
MYD88,2,87,138,13176,0.231321006917984,"Cyclosporin A_3.34_P19_plate_41002701,Erlotinib_1.43_J23_plate_41002703",1.0
LUC7L,0,32,138,13176,1.0,"",1.0
SPRR1A,0,31,138,13176,1.0,"",1.0
EIF2AK3,3,105,138,13176,0.09783573335170741,"Glycerol_3.34_P22_plate_41002889,Bortezomib_0.95_N08_plate_41002875,Bortezomib_1.43_O21_plate_41002945",1.0
DOCK2,0,31,138,13176,1.0,"",1.0
ERCC5,0,45,138,13176,1.0,"",1.0
IFI27L2,0,47,138,13176,1.0,"",1.0
MAPK3,0,135,138,13176,1.0,"",1.0
ZFYVE1,0,16,138,13176,1.0,"",1.0
MAP1LC3B2,0,32,138,13176,1.0,"",1.0
PSMB2,4,64,138,13176,0.004502717166391608,"Carfilzomib_2.36_P05_plate_41002886,Bortezomib_0.95_N08_plate_41002875,Bortezomib_1.43_O21_plate_41002945,Glycerol_3.34_P22_plate_41002889",1.0
VNN3P,1,48,138,13176,0.39727353315756336,Glycerol_3.34_P22_plate_41002889,1.0
AARS1,1,60,138,13176,0.46908615608088705,Disulfiram_3.82_I17_plate_41002692,1.0
BACH1,0,89,138,13176,1.0,"",1.0
EIF2S1,0,45,138,13176,1.0,"",1.0
SDHD,1,94,138,13176,0.6296242955123024,Glycerol_3.34_P22_plate_41002889,1.0
C6orf89,0,32,138,13176,1.0,"",1.0
IPO4,0,16,138,13176,1.0,"",1.0
L2HGDH,0,30,138,13176,1.0,"",1.0
TRIM59,0,62,138,13176,1.0,"",1.0
TSHZ2,0,30,138,13176,1.0,"",1.0
ABCC11,0,93,138,13176,1.0,"",1.0
SLC30A1,1,78,138,13176,0.5611817867206136,Disulfiram_3.82_I17_plate_41002692,1.0
PGAM1,1,32,138,13176,0.28632057245144965,Glycerol_3.34_P22_plate_41002889,1.0
SPIRE2,1,45,138,13176,0.3778624634650871,Cyclosporin A_3.34_P19_plate_41002701,1.0
HSP90AA1,2,77,138,13176,0.19294454315724704,"Disulfiram_3.82_I17_plate_41002692,Glycerol_3.34_P22_plate_41002889",1.0
ANKDD1A,0,47,138,13176,1.0,"",1.0
PPFIBP1,1,48,138,13176,0.39727353315756336,Glycerol_3.34_P22_plate_41002889,1.0
MBTPS1,1,32,138,13176,0.28632057245144965,Glycerol_3.34_P22_plate_41002889,1.0
USP44,1,46,138,13176,0.38440080632106327,Glycerol_3.34_P22_plate_41002889,1.0
C22orf39,0,32,138,13176,1.0,"",1.0
ABCB11,17,1058,138,13176,0.05034366338189096,"Glimepiride_3.34_D18_plate_41002957,Astemizole_3.82_E10_plate_41002878,Levofloxacin_3.82_P18_plate_41002878,Cyclosporin A_3.34_P19_plate_41002701,Astemizole_3.34_J02_plate_41002889,Atenolol_2.86_G22_plate_41002951,Olmesartan_3.82_K13_plate_41002692,Triclosan_3.82_F22_plate_41002946,Lopinavir_3.82_F09_plate_41002897,Atenolol_3.82_P11_plate_41002878,Ezetimibe_3.82_J18_plate_41002946,Atazanavir_3.82_B10_plate_41002896,Triclosan_3.82_D24_plate_41002877,Lopinavir_3.34_O01_plate_41002700,Disulfiram_3.82_I17_plate_41002692,Chlorpromazine_3.82_B03_plate_41002878,Lopinavir_3.82_O13_plate_41002692",1.0
TIMM9,1,46,138,13176,0.38440080632106327,Cyclosporin A_3.34_P19_plate_41002701,1.0
CPA4,2,79,138,13176,0.20055884827662895,"Glycerol_3.34_P22_plate_41002889,2,2'-Oxybis(ethan-1-ol)_0.48_P18_plate_41002883",1.0
PPM1B,1,77,138,13176,0.556509545887919,Glycerol_3.34_P22_plate_41002889,1.0
SELENOP,0,91,138,13176,1.0,"",1.0
NEUROG1,1,30,138,13176,0.27109701643053735,Cyclosporin A_3.34_P19_plate_41002701,1.0
NRK,0,30,138,13176,1.0,"",1.0
UBE3D,0,48,138,13176,1.0,"",1.0
ARHGEF17,0,45,138,13176,1.0,"",1.0
ADM,3,136,138,13176,0.1709381354427094,"Disulfiram_3.82_I17_plate_41002692,Bortezomib_0.95_N08_plate_41002875,Bortezomib_1.43_O21_plate_41002945",1.0
HSP90AB1,2,59,138,13176,0.12687246991085346,"Cyclosporin A_3.34_P19_plate_41002701,Disulfiram_3.82_I17_plate_41002692",1.0
EPN2,0,61,138,13176,1.0,"",1.0
OTOF,0,31,138,13176,1.0,"",1.0
EPHB6,0,170,138,13176,1.0,"",1.0
GRM8,2,137,138,13176,0.421692300928404,"Cyclosporin A_3.34_P19_plate_41002701,Melatonin_3.82_D16_plate_41002692",1.0
HNF1B,0,60,138,13176,1.0,"",1.0
KLHL24,1,105,138,13176,0.6704199100216062,Cyclosporin A_3.34_P19_plate_41002701,1.0
CNN1,0,78,138,13176,1.0,"",1.0
APOBEC3B,0,103,138,13176,1.0,"",1.0
ACYP1,2,89,138,13176,0.23906546802872403,"Cyclosporin A_3.34_P19_plate_41002701,Glycerol_3.34_P22_plate_41002889",1.0
ZNF248,0,32,138,13176,1.0,"",1.0
MMP15,0,16,138,13176,1.0,"",1.0
PAK5,1,46,138,13176,0.38440080632106327,Cyclosporin A_3.34_P19_plate_41002701,1.0
FOXA1,2,151,138,13176,0.4711484620926855,"Bortezomib_0.95_N08_plate_41002875,Bortezomib_1.43_O21_plate_41002945",1.0
NDUFA7,1,30,138,13176,0.27109701643053735,Metformin_3.34_J22_plate_41002701,1.0
SOX3,1,89,138,13176,0.6094601225020597,Cyclosporin A_3.34_P19_plate_41002701,1.0
PAK1IP1,0,48,138,13176,1.0,"",1.0
GGT5,1,47,138,13176,0.39087092732088696,Glycerol_3.34_P22_plate_41002889,1.0
ADGRB2,0,46,138,13176,1.0,"",1.0
RAB3D,0,31,138,13176,1.0,"",1.0
TIMM13,0,31,138,13176,1.0,"",1.0
FADS2,0,47,138,13176,1.0,"",1.0
