target_set,p_value,fdr,overlap_size,target_set_size,overlap_hits
MBOAT1,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
C6orf141,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ADAMTS15,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
IRF6,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
SALL3,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
SLC35F2,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ST6GALNAC5,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ANO3,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
GLIS3,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ATP8B3,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
USP28,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
SLC9B2,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
PPP1R13L,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
CFAP95,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
LACC1,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
YPEL1,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
SYNCRIP,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
VENTX,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
HLA-DRB5,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
MAN1A1,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
LRP12,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
OVOL2,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
CADM4,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
BRINP1,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
C2orf68,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
TOX,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
VAMP8,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
NIFK-AS1,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
SALL2,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ARID2,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
C11orf52,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
METTL21A,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ARAP2,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
SLC35D3,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
NFATC4,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ME3,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
POU5F1P3,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
SP5,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
KLRG2,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
NGEF,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
KIT,0.06853682095633144,0.7868874951338206,6,289,"Fostamatinib_33.5_J22_plate_41002957,Panobinostat_3.5_G09_plate_41002885,Dasatinib_0.1369294673204422_A18_plate_41002699,Panobinostat_0.0456431545317173_M23_plate_41002691,Fostamatinib_11.0_L09_plate_41002950,Fostamatinib_11.0_J18_plate_41002879"
TMEM125,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
EOGT,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
RASSF10,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
RBM47,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
CCDC140,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
SNX25,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
SGPP2,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
GSTA3,0.06047674236641407,0.7868874951338206,3,90,"Atazanavir_33.5_M08_plate_41002892,Cyclosporin A_11.0_J15_plate_41002880,Triclosan_100.0_F22_plate_41002946"
C1orf53,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
SCG3,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
THAP2,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
TTLL6,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
RHOBTB3,0.05728898938123415,0.7868874951338206,3,88,"Panobinostat_3.5_G09_plate_41002885,Tamoxifen_100.0_F23_plate_41002896,Panobinostat_0.0456431545317173_M23_plate_41002691"
KCNN3,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
C2CD2,0.06047674236641407,0.7868874951338206,3,90,"Panobinostat_3.5_G09_plate_41002885,Tamoxifen_100.0_F23_plate_41002896,Panobinostat_0.0456431545317173_M23_plate_41002691"
TRPC6,0.06801058151513803,0.7868874951338206,2,43,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
FGF18,0.0557260986138876,0.7868874951338206,3,87,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691,Cyclosporin A_11.0_J15_plate_41002880"
ANOS1,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ERVH48-1,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
UTF1,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
PRKCB,0.06210130926553627,0.7868874951338206,3,91,"Panobinostat_3.5_G09_plate_41002885,Tamoxifen_100.0_F23_plate_41002896,Panobinostat_0.0456431545317173_M23_plate_41002691"
FABP3,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ZRANB3,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ANKRD1,0.05728898938123415,0.7868874951338206,3,88,"Panobinostat_3.5_G09_plate_41002885,Tamoxifen_100.0_F23_plate_41002896,Panobinostat_0.0456431545317173_M23_plate_41002691"
FUT4,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
NPY,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
CACNA2D1,0.05345504292379074,0.7868874951338206,6,271,"Vitamin D2_100.0_O18_plate_41002896,Cyclosporin A_11.0_J15_plate_41002880,Panobinostat_3.5_G09_plate_41002885,Lercanidipine_100.0_I13_plate_41002878,Panobinostat_0.0456431545317173_M23_plate_41002691,Lercanidipine_100.0_L18_plate_41002692"
MAP2K3,0.06133054763832099,0.7868874951338206,4,149,"Fostamatinib_11.0_L09_plate_41002950,Fostamatinib_11.0_J18_plate_41002879,Tamoxifen_100.0_F23_plate_41002896,Fostamatinib_33.5_J22_plate_41002957"
CR2,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
TGFBRAP1,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
CDH18,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
CLGN,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
POU5F1B,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ESRP2,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
GALNT18,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ZNF827,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
LHFPL6,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
TRIM9,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
LRRC55,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
TRIM69,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
HES2,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ELMOD1,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
KIAA0040,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
CHST4,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
PHIP,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ZNF804A,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
NPNT,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
CNOT4,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
BEX5,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
SEPTIN6,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
BNC2,0.06374613433874846,0.7868874951338206,3,92,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691,Cyclosporin A_11.0_J15_plate_41002880"
GSEC,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ARFGEF3,0.06801058151513803,0.7868874951338206,2,43,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
DENND1B,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
GNL3L,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
CPE,0.06374613433874846,0.7868874951338206,3,92,"Panobinostat_3.5_G09_plate_41002885,Tamoxifen_100.0_F23_plate_41002896,Panobinostat_0.0456431545317173_M23_plate_41002691"
SOX3,0.058872585985209565,0.7868874951338206,3,89,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691,Cyclosporin A_11.0_J15_plate_41002880"
PKNOX2,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
LIX1,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ANXA2P2,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
UGT3A1,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
LCTL,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
MMP2,0.06325991732730149,0.7868874951338206,6,283,"Tamoxifen_100.0_F23_plate_41002896,Bicalutamide_100.0_I11_plate_41002692,Erlotinib_11.0_G14_plate_41002880,Erlotinib_33.5_J06_plate_41002889,Erlotinib_100.0_I18_plate_41002692,Erlotinib_100.0_G14_plate_41002878"
OVOL1,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
NEXMIF,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
MFAP3L,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
SYT7,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
AFAP1L1,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
KREMEN1,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
RAX,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
IFT25,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
GCHFR,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
TMEM18,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
PRKAB1,0.05728898938123415,0.7868874951338206,3,88,"Fostamatinib_11.0_L09_plate_41002950,Fostamatinib_11.0_J18_plate_41002879,Fostamatinib_33.5_J22_plate_41002957"
MIAT,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
TRPC4,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
SLC18B1,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
NWD2,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
TRIM6,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
SPAG9,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
RIMS1,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
HAPLN1,0.06047674236641407,0.7868874951338206,3,90,"Panobinostat_3.5_G09_plate_41002885,Tamoxifen_100.0_F23_plate_41002896,Panobinostat_0.0456431545317173_M23_plate_41002691"
STK39,0.06541106227079894,0.7868874951338206,3,93,"Fostamatinib_11.0_L09_plate_41002950,Fostamatinib_11.0_J18_plate_41002879,Fostamatinib_33.5_J22_plate_41002957"
RAB7B,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
FGF8,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
NKD1,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
NFIB,0.06801058151513803,0.7868874951338206,2,43,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
SRD5A1,0.07648567772750277,0.7868874951338206,2,46,"Finasteride_100.0_E01_plate_41002896,Norethindrone_100.0_D17_plate_41002946"
MAP4K1,0.06541106227079894,0.7868874951338206,3,93,"Fostamatinib_11.0_L09_plate_41002950,Fostamatinib_11.0_J18_plate_41002879,Fostamatinib_33.5_J22_plate_41002957"
NCALD,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
PPP1R1A,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
EBI3,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
CGNL1,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
SP6,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
PPM1K,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
MAP6,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
SLC19A3,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
CYP2C8,0.07280337745133414,0.7868874951338206,28,2140,"Brigatinib_1.0_M23_plate_41002959,Lopinavir_33.5_G15_plate_41002893,Bortezomib_0.1369294673204422_K13_plate_41002952,Fluvastatin_3.5_C21_plate_41002688,Atazanavir_33.5_M08_plate_41002892,Ixazomib_0.4107883870601654_A22_plate_41002703,Erlotinib_100.0_I18_plate_41002692,Selpercatinib_33.5_I22_plate_41002892,Cabazitaxel_100.0_C06_plate_41002692,Fluvastatin_11.0_M06_plate_41002904,Selpercatinib_33.5_P08_plate_41002701,Bortezomib_1.0_F15_plate_41002958,Vemurafenib_100.0_M15_plate_41002878,Ixazomib_1.0_L09_plate_41002907,Tamoxifen_100.0_F23_plate_41002896,Bortezomib_0.0456431545317173_B22_plate_41002949,Rifabutin_100.0_A08_plate_41002692,Bortezomib_0.4107883870601654_O21_plate_41002945,Erlotinib_33.5_J06_plate_41002889,Bortezomib_1.0_M19_plate_41002882,Erlotinib_100.0_G14_plate_41002878,Brigatinib_11.0_K11_plate_41002950,Cyclosporin A_11.0_J15_plate_41002880,Metronidazole_100.0_N10_plate_41002878,Fluvastatin_100.0_C24_plate_41002896,Erlotinib_11.0_G14_plate_41002880,Ixazomib_3.5_M08_plate_41002689,Bortezomib_0.0456431545317173_N01_plate_41002883"
ROBO2,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ELF5,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
PRRG1,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
NGFR,0.06047674236641407,0.7868874951338206,3,90,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691,Cyclosporin A_11.0_J15_plate_41002880"
PATJ,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
TRIM14,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
PRKAB2,0.058872585985209565,0.7868874951338206,3,89,"Fostamatinib_11.0_L09_plate_41002950,Fostamatinib_11.0_J18_plate_41002879,Fostamatinib_33.5_J22_plate_41002957"
FAAH,0.0670959348858386,0.7868874951338206,3,94,"Fostamatinib_11.0_L09_plate_41002950,Fostamatinib_11.0_J18_plate_41002879,Fostamatinib_33.5_J22_plate_41002957"
C9orf72,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
CALB2,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
LRRN4,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
POPDC3,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
NRIP3,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
SLC35G2,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ZNF600,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
MPZ,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
GAS7,0.0707991251138022,0.7868874951338206,2,44,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ONECUT2,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
PURG,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ZC3H12C,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
LMO7,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ADAM22,0.07648567772750277,0.7868874951338206,2,46,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
ITGA9,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
SNAI1,0.05659417386170971,0.7868874951338206,4,145,"Erlotinib_11.0_G14_plate_41002880,Erlotinib_100.0_G14_plate_41002878,Erlotinib_33.5_J06_plate_41002889,Erlotinib_100.0_I18_plate_41002692"
HPGDS,0.0707991251138022,0.7868874951338206,2,44,"Nocodazole_33.5_E08_plate_41002889,Nocodazole_33.5_N18_plate_41002701"
ARMH4,0.07362448873150663,0.7868874951338206,2,45,"Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691"
