OASIS_ID,DTXSID,PREFERRED_NAME,DTXCID,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,DILILIST_ID,DILIRANK2_ID,DRUGMATRIX_ID,FRAUNHOFER_ID,ICE_ID,TGGATES_ID,TOXREFDB_ID,Invivo_ranking,Purchased_Broad_Enamine,Purchased_Broad_Molport,Purchased_Broad_Medchemxpress,InChIKey14,BESP,animal hepatotoxicity Ambe et al,animal hepatotoxicity Liu et al,human hepatotoxicity Mulliner et al,preclinical hepatotoxicity Mulliner et al
OASIS1663,DTXSID8021438,"1,1-Dichloroethylene",DTXCID001438,75-35-4,LGXVIGDEPROXKC-UHFFFAOYSA-N,"1,1-Dichloroethene",ClC(Cl)=C,"InChI=1S/C2H2Cl2/c1-2(3)4/h1H2
",,,,,ice_50,,,3.0,Yes,No,No,LGXVIGDEPROXKC,,,,1.0,1.0
OASIS1684,DTXSID3020596,Ethylbenzene,DTXCID10596,100-41-4,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,Ethylbenzene,CCC1=CC=CC=C1,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3
",,,,,ice_96,,,3.0,Yes,No,No,YNQLUTRBYVCPMQ,,,,,1.0
OASIS1404,DTXSID8022905,Dexbrompheniramine,DTXCID002905,132-21-8,ZDIGNSYAACHWNL-HNNXBMFYSA-N,"(3S)-3-(4-Bromophenyl)-N,N-dimethyl-3-(pyridin-2-yl)propan-1-amine",CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1,"InChI=1S/C16H19BrN2/c1-19(2)12-10-15(16-5-3-4-11-18-16)13-6-8-14(17)9-7-13/h3-9,11,15H,10,12H2,1-2H3/t15-/m0/s1
",dilist_626,,,,,,,4.0,No,Yes,No,ZDIGNSYAACHWNL,0.0,,,1.0,0.0
OASIS1738,DTXSID1023100,L-Glutamine,DTXCID503100,56-85-9,ZDXPYRJPNDTMRX-VKHMYHEASA-N,L-Glutamine,N[C@@H](CCC(N)=O)C(O)=O,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1
",,dilirank2_223,,,,,,4.0,No,Yes,Yes,ZDXPYRJPNDTMRX,,,,,1.0
OASIS1740,DTXSID10240930,Ruxolitinib,DTXCID40163421,941678-49-5,HFNKQEVNSGCOJV-OAHLLOKOSA-N,"(3R)-3-Cyclopentyl-3-[4-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)-1H-pyrazol-1-yl]propanenitrile",N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,"InChI=1S/C17H18N6/c18-7-5-15(12-3-1-2-4-12)23-10-13(9-22-23)16-14-6-8-19-17(14)21-11-20-16/h6,8-12,15H,1-5H2,(H,19,20,21)/t15-/m1/s1
",,dilirank2_221,,,,,,4.0,No,Yes,Yes,HFNKQEVNSGCOJV,,,,1.0,1.0
OASIS075,DTXSID8023006,Ethambutol,DTXCID703006,74-55-5,AEUTYOVWOVBAKS-UWVGGRQHSA-N,"(2S,2'S)-2,2'-[Ethane-1,2-diylbis(azanediyl)]di(butan-1-ol)",CC[C@@H](CO)NCCN[C@@H](CC)CO,"InChI=1S/C10H24N2O2/c1-3-9(7-13)11-5-6-12-10(4-2)8-14/h9-14H,3-8H2,1-2H3/t9-,10-/m0/s1
",dilist_412,,,,,tggates_71,,2.0,Yes,No,No,AEUTYOVWOVBAKS,0.0,,,1.0,1.0
OASIS172,DTXSID1021821,2-Butanone oxime,DTXCID701821,96-29-7,WHIVNJATOVLWBW-UHFFFAOYSA-N,N-Butan-2-ylidenehydroxylamine,CCC(C)=NO,"InChI=1S/C4H9NO/c1-3-4(2)5-6/h6H,3H2,1-2H3
",,,,,,,toxrefdb_83,1.0,No,Yes,No,WHIVNJATOVLWBW,,0.0,1.0,,1.0
OASIS139,DTXSID4034601,"(2R,6S)-Fenpropimorph",DTXCID1032359,67564-91-4,RYAUSSKQMZRMAI-ALOPSCKCNA-N,"rel-(2R,6S)-4-[3-(4-tert-Butylphenyl)-2-methylpropyl]-2,6-dimethylmorpholine",CC(CN1C[C@H](C)O[C@H](C)C1)CC1=CC=C(C=C1)C(C)(C)C,"InChI=1/C20H33NO/c1-15(12-21-13-16(2)22-17(3)14-21)11-18-7-9-19(10-8-18)20(4,5)6/h7-10,15-17H,11-14H2,1-6H3/t15?,16-,17+
",,,,fraunhofer_191,,,toxrefdb_110,1.0,Yes,No,No,RYAUSSKQMZRMAI,,,,,1.0
OASIS1072,DTXSID40891494,Aliskiren,DTXCID401030595,173334-57-1,UXOWGYHJODZGMF-QORCZRPOSA-N,"(2S,4S,5S,7S)-5-Amino-N-(3-amino-2,2-dimethyl-3-oxopropyl)-4-hydroxy-7-{[4-methoxy-3-(3-methoxypropoxy)phenyl]methyl}-8-methyl-2-(propan-2-yl)nonanamide",COCCCOC1=C(OC)C=CC(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)=C1,"InChI=1S/C30H53N3O6/c1-19(2)22(14-21-10-11-26(38-8)27(15-21)39-13-9-12-37-7)16-24(31)25(34)17-23(20(3)4)28(35)33-18-30(5,6)29(32)36/h10-11,15,19-20,22-25,34H,9,12-14,16-18,31H2,1-8H3,(H2,32,36)(H,33,35)/t22-,23-,24-,25-/m0/s1
",dilist_849,,,,,,,4.0,Yes,No,Yes,UXOWGYHJODZGMF,0.0,,,,
OASIS831,DTXSID2040571,Olmesartan,DTXCID0020571,144689-24-7,VTRAEEWXHOVJFV-UHFFFAOYSA-N,"4-(2-Hydroxypropan-2-yl)-2-propyl-1-{[2'-(1H-tetrazol-5-yl)[1,1'-biphenyl]-4-yl]methyl}-1H-imidazole-5-carboxylic acid",CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O,"InChI=1S/C24H26N6O3/c1-4-7-19-25-21(24(2,3)33)20(23(31)32)30(19)14-15-10-12-16(13-11-15)17-8-5-6-9-18(17)22-26-28-29-27-22/h5-6,8-13,33H,4,7,14H2,1-3H3,(H,31,32)(H,26,27,28,29)
",dilist_457,,,,,,,4.0,Yes,No,Yes,VTRAEEWXHOVJFV,,,,0.0,0.0
OASIS1674,DTXSID5020493,Dimethyl phosphonate,DTXCID10493,868-85-9,HZCDANOFLILNSA-UHFFFAOYSA-N,Dimethyl phosphonate,COP(=O)OC,"InChI=1S/C2H7O3P/c1-4-6(3)5-2/h6H,1-2H3
",,,,,ice_129,,,3.0,Yes,No,No,HZCDANOFLILNSA,,0.0,,,
OASIS897,DTXSID3022748,Cefaclor,DTXCID002748,53994-73-3,QYIYFLOTGYLRGG-GPCCPHFNSA-N,"(6R,7R)-7-{[(2R)-2-Amino-2-phenylacetyl]amino}-3-chloro-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",[H][C@]12SCC(Cl)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,"InChI=1S/C15H14ClN3O4S/c16-8-6-24-14-10(13(21)19(14)11(8)15(22)23)18-12(20)9(17)7-4-2-1-3-5-7/h1-5,9-10,14H,6,17H2,(H,18,20)(H,22,23)/t9-,10-,14-/m1/s1
",dilist_911,,,,,,,4.0,No,No,Yes,QYIYFLOTGYLRGG,0.0,,,1.0,1.0
OASIS1935,DTXSID9044247,Lactitol,DTXCID7024247,585-86-4,VQHSOMBJVWLPSR-JVCRWLNRSA-N,4-O-beta-D-Galactopyranosyl-D-glucitol,[H][C@@](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)([C@H](O)CO)[C@H](O)[C@@H](O)CO,"InChI=1S/C12H24O11/c13-1-4(16)7(18)11(5(17)2-14)23-12-10(21)9(20)8(19)6(3-15)22-12/h4-21H,1-3H2/t4-,5+,6+,7+,8-,9-,10+,11+,12-/m0/s1
",,dilirank2_5,,,,,,4.0,No,Yes,Yes,VQHSOMBJVWLPSR,0.0,0.0,,,1.0
OASIS532,DTXSID2040363,Diniconazole,DTXCID0020363,83657-24-3,FBOUIAKEJMZPQG-AWNIVKPZSA-N,"(1E)-1-(2,4-Dichlorophenyl)-4,4-dimethyl-2-(1H-1,2,4-triazol-1-yl)pent-1-en-3-ol",CC(C)(C)C(O)C(=C/C1=C(Cl)C=C(Cl)C=C1)\N1C=NC=N1,"InChI=1/C15H17Cl2N3O/c1-15(2,3)14(21)13(20-9-18-8-19-20)6-10-4-5-11(16)7-12(10)17/h4-9,14,21H,1-3H3/b13-6+
",,,,fraunhofer_221,,,,3.0,No,Yes,Yes,FBOUIAKEJMZPQG,,1.0,,,
OASIS1886,DTXSID70220132,Neratinib,DTXCID70142623,698387-09-6,JWNPDZNEKVCWMY-VQHVLOKHSA-N,(2E)-N-(4-{3-Chloro-4-[(pyridin-2-yl)methoxy]anilino}-3-cyano-7-ethoxyquinolin-6-yl)-4-(dimethylamino)but-2-enamide,CCOC1=C(NC(=O)\C=C\CN(C)C)C=C2C(NC3=CC(Cl)=C(OCC4=CC=CC=N4)C=C3)=C(C=NC2=C1)C#N,"InChI=1S/C30H29ClN6O3/c1-4-39-28-16-25-23(15-26(28)36-29(38)9-7-13-37(2)3)30(20(17-32)18-34-25)35-21-10-11-27(24(31)14-21)40-19-22-8-5-6-12-33-22/h5-12,14-16,18H,4,13,19H2,1-3H3,(H,34,35)(H,36,38)/b9-7+
",,dilirank2_130,,,,,,4.0,No,Yes,Yes,JWNPDZNEKVCWMY,1.0,,,,
OASIS1815,DTXSID4045183,5-methyl-1-phenyl-2(1H)-Pyridone,DTXCID2025183,53179-13-8,ISWRGOKTTBVCFA-UHFFFAOYSA-N,5-Methyl-1-phenylpyridin-2(1H)-one,CC1=CN(C(=O)C=C1)C1=CC=CC=C1,"InChI=1S/C12H11NO/c1-10-7-8-12(14)13(9-10)11-5-3-2-4-6-11/h2-9H,1H3
",,dilirank2_98,,,,,,4.0,No,Yes,Yes,ISWRGOKTTBVCFA,,,,1.0,0.0
OASIS1100,DTXSID5022986,(-)-Epinephrine,DTXCID802986,51-43-4,UCTWMZQNUQWSLP-VIFPVBQESA-N,"4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]benzene-1,2-diol",CNC[C@H](O)C1=CC(O)=C(O)C=C1,"InChI=1S/C9H13NO3/c1-10-5-9(13)6-2-3-7(11)8(12)4-6/h2-4,9-13H,5H2,1H3/t9-/m0/s1
",dilist_727,,,,,,,4.0,Yes,No,Yes,UCTWMZQNUQWSLP,,,,0.0,1.0
OASIS581,DTXSID0026175,Triallyl isocyanurate,DTXCID906175,1025-15-6,KOMNUTZXSVSERR-UHFFFAOYSA-N,"1,3,5-Tri(prop-2-en-1-yl)-1,3,5-triazinane-2,4,6-trione",C=CCN1C(=O)N(CC=C)C(=O)N(CC=C)C1=O,"InChI=1S/C12H15N3O3/c1-4-7-13-10(16)14(8-5-2)12(18)15(9-6-3)11(13)17/h4-6H,1-3,7-9H2
",,,,fraunhofer_283,,,,3.0,No,Yes,Yes,KOMNUTZXSVSERR,,1.0,,,1.0
OASIS012,DTXSID4023624,Sulindac,DTXCID703624,38194-50-2,MLKXDPUZXIRXEP-MFOYZWKCSA-N,[(1E)-5-Fluoro-1-{[4-(methanesulfinyl)phenyl]methylidene}-2-methyl-1H-inden-3-yl]acetic acid,CC1=C(CC(O)=O)C2=C(C=CC(F)=C2)\C1=C/C1=CC=C(C=C1)S(C)=O,"InChI=1/C20H17FO3S/c1-12-17(9-13-3-6-15(7-4-13)25(2)24)16-8-5-14(21)10-19(16)18(12)11-20(22)23/h3-10H,11H2,1-2H3,(H,22,23)/b17-9-
",dilist_283,,drugmatrix_50,,,tggates_10,,2.0,No,Yes,Yes,MLKXDPUZXIRXEP,1.0,,,,
OASIS1002,DTXSID4022787,Cetirizine,DTXCID802787,83881-51-0,ZKLPARSLTMPFCP-UHFFFAOYSA-N,(2-{4-[(4-Chlorophenyl)(phenyl)methyl]piperazin-1-yl}ethoxy)acetic acid,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,"InChI=1/C21H25ClN2O3/c22-19-8-6-18(7-9-19)21(17-4-2-1-3-5-17)24-12-10-23(11-13-24)14-15-27-16-20(25)26/h1-9,21H,10-16H2,(H,25,26)
",dilist_1038,,,,,,,4.0,Yes,No,Yes,ZKLPARSLTMPFCP,,,,1.0,1.0
OASIS622,DTXSID0023036,Etretinate,DTXCID603036,54350-48-0,HQMNCQVAMBCHCO-DJRRULDNSA-N,"Ethyl (2E,4E,6E,8E)-9-(4-methoxy-2,3,6-trimethylphenyl)-3,7-dimethylnona-2,4,6,8-tetraenoate",CCOC(=O)\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)C(C)=C(OC)C=C1C,"InChI=1S/C23H30O3/c1-8-26-23(24)14-17(3)11-9-10-16(2)12-13-21-18(4)15-22(25-7)20(6)19(21)5/h9-15H,8H2,1-7H3/b11-9+,13-12+,16-10+,17-14+
",dilist_555,,,,,,,4.0,No,Yes,Yes,HQMNCQVAMBCHCO,0.0,,,,
OASIS1379,DTXSID80182853,Fesoterodine,DTXCID20105344,286930-02-7,DCCSDBARQIPTGU-HSZRJFAPSA-N,2-{(1R)-3-[Di(propan-2-yl)amino]-1-phenylpropyl}-4-(hydroxymethyl)phenyl 2-methylpropanoate,CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(OC(=O)C(C)C)C=CC(CO)=C1)C(C)C,"InChI=1S/C26H37NO3/c1-18(2)26(29)30-25-13-12-21(17-28)16-24(25)23(22-10-8-7-9-11-22)14-15-27(19(3)4)20(5)6/h7-13,16,18-20,23,28H,14-15,17H2,1-6H3/t23-/m1/s1
",dilist_184,,,,,,,4.0,No,No,Yes,DCCSDBARQIPTGU,0.0,,,1.0,1.0
OASIS1479,DTXSID8048286,Cinacalcet,DTXCID3028261,226256-56-0,VDHAWDNDOKGFTD-MRXNPFEDSA-N,N-[(1R)-1-(Naphthalen-1-yl)ethyl]-3-[3-(trifluoromethyl)phenyl]propan-1-amine,C[C@@H](NCCCC1=CC=CC(=C1)C(F)(F)F)C1=CC=CC2=CC=CC=C12,"InChI=1S/C22H22F3N/c1-16(20-13-5-10-18-9-2-3-12-21(18)20)26-14-6-8-17-7-4-11-19(15-17)22(23,24)25/h2-5,7,9-13,15-16,26H,6,8,14H2,1H3/t16-/m1/s1
",dilist_235,,,,,,,4.0,Yes,No,Yes,VDHAWDNDOKGFTD,,,,1.0,1.0
OASIS540,DTXSID1023817,Dicyclohexylcarbodiimide,DTXCID003817,538-75-0,QOSSAOTZNIDXMA-UHFFFAOYSA-N,"N,N'-Dicyclohexylmethanediimine",C1CCC(CC1)N=C=NC1CCCCC1,"InChI=1S/C13H22N2/c1-3-7-12(8-4-1)14-11-15-13-9-5-2-6-10-13/h12-13H,1-10H2
",,,,fraunhofer_233,,,,3.0,No,Yes,Yes,QOSSAOTZNIDXMA,,1.0,,,
OASIS1192,DTXSID6022761,Cefotaxime,DTXCID501476108,63527-52-6,GPRBEKHLDVQUJE-QSWIMTSFSA-N,"(6R,7R)-3-[(Acetyloxy)methyl]-7-{[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetyl]amino}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,"InChI=1S/C16H17N5O7S2/c1-6(22)28-3-7-4-29-14-10(13(24)21(14)11(7)15(25)26)19-12(23)9(20-27-2)8-5-30-16(17)18-8/h5,10,14H,3-4H2,1-2H3,(H2,17,18)(H,19,23)(H,25,26)/b20-9-/t10-,14-/m1/s1
",dilist_858,,,,,,,4.0,Yes,No,Yes,GPRBEKHLDVQUJE,0.0,,,1.0,1.0
OASIS419,DTXSID0032520,Azoxystrobin,DTXCID8012520,131860-33-8,WFDXOXNFNRHQEC-GHRIWEEISA-N,Methyl (2E)-2-(2-{[6-(2-cyanophenoxy)pyrimidin-4-yl]oxy}phenyl)-3-methoxyprop-2-enoate,CO\C=C(\C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1,"InChI=1S/C22H17N3O5/c1-27-13-17(22(26)28-2)16-8-4-6-10-19(16)30-21-11-20(24-14-25-21)29-18-9-5-3-7-15(18)12-23/h3-11,13-14H,1-2H3/b17-13+
",,,,fraunhofer_83,,,,3.0,No,Yes,Yes,WFDXOXNFNRHQEC,,0.0,1.0,,1.0
OASIS782,DTXSID2020636,Fluvastatin,DTXCID0065309,93957-54-1,FJLGEFLZQAZZCD-IXJPLCFUNA-N,"(3S,5R,6E)-7-[3-(4-Fluorophenyl)-1-(propan-2-yl)-1H-indol-2-yl]-3,5-dihydroxyhept-6-enoic acid",CC(C)N1C(\C=C\[C@H](O)C[C@H](O)CC(O)=O)=C(C2=C1C=CC=C2)C1=CC=C(F)C=C1,"InChI=1/C24H26FNO4/c1-15(2)26-21-6-4-3-5-20(21)24(16-7-9-17(25)10-8-16)22(26)12-11-18(27)13-19(28)14-23(29)30/h3-12,15,18-19,27-28H,13-14H2,1-2H3,(H,29,30)/b12-11+/t18-,19-/s2
",dilist_186,,,,,,,4.0,No,Yes,Yes,FJLGEFLZQAZZCD,1.0,,,,
OASIS1540,DTXSID9023259,Mepivacaine,DTXCID803259,96-88-8,INWLQCZOYSRPNW-UHFFFAOYSA-N,"N-(2,6-Dimethylphenyl)-1-methylpiperidine-2-carboxamide",CN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,"InChI=1/C15H22N2O/c1-11-7-6-8-12(2)14(11)16-15(18)13-9-4-5-10-17(13)3/h6-8,13H,4-5,9-10H2,1-3H3,(H,16,18)
",dilist_697,,,,,,,4.0,Yes,No,Yes,INWLQCZOYSRPNW,0.0,,,,
OASIS525,DTXSID7020182,Bisphenol A,DTXCID30182,80-05-7,IISBACLAFKSPIT-UHFFFAOYSA-N,"4,4'-(Propane-2,2-diyl)diphenol",CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,"InChI=1S/C15H16O2/c1-15(2,11-3-7-13(16)8-4-11)12-5-9-14(17)10-6-12/h3-10,16-17H,1-2H3
",,,,fraunhofer_214,,,,3.0,No,Yes,No,IISBACLAFKSPIT,,,,,1.0
OASIS1378,DTXSID80175220,Conivaptan,DTXCID3097711,210101-16-9,IKENVDNFQMCRTR-UHFFFAOYSA-N,"N-[4-(2-Methyl-4,5-dihydroimidazo[4,5-d][1]benzazepine-6(3H)-carbonyl)phenyl][1,1'-biphenyl]-2-carboxamide",CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1,"InChI=1S/C32H26N4O2/c1-21-33-28-19-20-36(29-14-8-7-13-27(29)30(28)34-21)32(38)23-15-17-24(18-16-23)35-31(37)26-12-6-5-11-25(26)22-9-3-2-4-10-22/h2-18H,19-20H2,1H3,(H,33,34)(H,35,37)
",dilist_332,,,,,,,4.0,Yes,No,No,IKENVDNFQMCRTR,,,,1.0,1.0
OASIS1693,DTXSID1024176,Methacrylonitrile,DTXCID104176,126-98-7,GYCMBHHDWRMZGG-UHFFFAOYSA-N,2-Methylprop-2-enenitrile,CC(=C)C#N,"InChI=1S/C4H5N/c1-4(2)3-5/h1H2,2H3
",,,,,ice_161,,,3.0,Yes,No,No,GYCMBHHDWRMZGG,,0.0,,,1.0
OASIS1201,DTXSID6022898,Desogestrel,DTXCID702898,54024-22-5,RPLCPCMSCLEKRS-BPIQYHPVSA-N,"(1R,3aS,3bS,9aR,9bS,11aS)-11a-Ethyl-1-ethynyl-10-methylidene-2,3,3a,3b,4,5,7,8,9,9a,9b,10,11,11a-tetradecahydro-1H-cyclopenta[a]phenanthren-1-ol",CC[C@]12CC(=C)[C@H]3[C@@H](CCC4=CCCC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,"InChI=1S/C22H30O/c1-4-21-14-15(3)20-17-9-7-6-8-16(17)10-11-18(20)19(21)12-13-22(21,23)5-2/h2,8,17-20,23H,3-4,6-7,9-14H2,1H3/t17-,18-,19-,20+,21-,22-/m0/s1
",dilist_438,,,,,,,4.0,No,Yes,Yes,RPLCPCMSCLEKRS,,,,0.0,0.0
OASIS717,DTXSID1023235,D-Mannitol,DTXCID603235,69-65-8,FBPFZTCFMRRESA-KVTDHHQDSA-N,D-Mannitol,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4-,5-,6-/m1/s1
",dilist_1072,,,,,,,4.0,Yes,No,Yes,FBPFZTCFMRRESA,,,,1.0,1.0
OASIS410,DTXSID101017883,(Z)-Dimethomorph,DTXCID60209532,113210-98-3,QNBTYORWCCMPQP-JXAWBTAJSA-N,"(2Z)-3-(4-Chlorophenyl)-3-(3,4-dimethoxyphenyl)-1-(morpholin-4-yl)prop-2-en-1-one",COC1=CC=C(C=C1OC)C(=C/C(=O)N1CCOCC1)\C1=CC=C(Cl)C=C1,"InChI=1S/C21H22ClNO4/c1-25-19-8-5-16(13-20(19)26-2)18(15-3-6-17(22)7-4-15)14-21(24)23-9-11-27-12-10-23/h3-8,13-14H,9-12H2,1-2H3/b18-14-
",,,,fraunhofer_68,,,,3.0,No,Yes,No,QNBTYORWCCMPQP,,0.0,1.0,,
OASIS1449,DTXSID8029868,Atorvastatin,DTXCID509868,134523-00-5,XUKUURHRXDUEBC-KAYWLYCHSA-N,"(3R,5R)-7-[2-(4-Fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-(propan-2-yl)-1H-pyrrol-1-yl]-3,5-dihydroxyheptanoic acid",CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,"InChI=1S/C33H35FN2O5/c1-21(2)31-30(33(41)35-25-11-7-4-8-12-25)29(22-9-5-3-6-10-22)32(23-13-15-24(34)16-14-23)36(31)18-17-26(37)19-27(38)20-28(39)40/h3-16,21,26-27,37-38H,17-20H2,1-2H3,(H,35,41)(H,39,40)/t26-,27-/m1/s1
",dilist_159,,,,,,,4.0,Yes,No,Yes,XUKUURHRXDUEBC,1.0,,,1.0,1.0
OASIS1678,DTXSID1020859,alpha-Methylbenzyl alcohol,DTXCID50859,98-85-1,WAPNOHKVXSQRPX-UHFFFAOYSA-N,1-Phenylethan-1-ol,CC(O)C1=CC=CC=C1,"InChI=1/C8H10O/c1-7(9)8-5-3-2-4-6-8/h2-7,9H,1H3
",,,,,ice_102,,,3.0,Yes,No,No,WAPNOHKVXSQRPX,,,,,1.0
OASIS045,DTXSID4020820,Methimazole,DTXCID20820,60-56-0,PMRYVIKBURPHAH-UHFFFAOYSA-N,"1-Methyl-1,3-dihydro-2H-imidazole-2-thione",CN1C=CNC1=S,"InChI=1S/C4H6N2S/c1-6-3-2-5-4(6)7/h2-3H,1H3,(H,5,7)
",dilist_689,,,,,tggates_109,,2.0,Yes,No,Yes,PMRYVIKBURPHAH,0.0,,,1.0,
OASIS689,DTXSID10198189,Rilpivirine,DTXCID90120680,500287-72-9,YIBOMRUWOWDFLG-ONEGZZNKSA-N,"4-[(4-{4-[(E)-2-Cyanoethenyl]-2,6-dimethylanilino}pyrimidin-2-yl)amino]benzonitrile",CC1=CC(\C=C\C#N)=CC(C)=C1NC1=NC(NC2=CC=C(C=C2)C#N)=NC=C1,"InChI=1S/C22H18N6/c1-15-12-18(4-3-10-23)13-16(2)21(15)27-20-9-11-25-22(28-20)26-19-7-5-17(14-24)6-8-19/h3-9,11-13H,1-2H3,(H2,25,26,27,28)/b4-3+
",dilist_302,,,,,,,4.0,No,No,Yes,YIBOMRUWOWDFLG,,,,1.0,1.0
OASIS463,DTXSID3020205,Benzyl butyl phthalate,DTXCID70205,85-68-7,IRIAEXORFWYRCZ-UHFFFAOYSA-N,"Benzyl butyl benzene-1,2-dicarboxylate",CCCCOC(=O)C1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1,"InChI=1S/C19H20O4/c1-2-3-13-22-18(20)16-11-7-8-12-17(16)19(21)23-14-15-9-5-4-6-10-15/h4-12H,2-3,13-14H2,1H3
",,,,fraunhofer_143,,,,3.0,No,Yes,Yes,IRIAEXORFWYRCZ,,,1.0,,1.0
OASIS542,DTXSID3023845,Acenaphthylene,DTXCID103845,208-96-8,HXGDTGSAIMULJN-UHFFFAOYSA-N,Acenaphthylene,C1=CC2=C3C1=CC=CC3=CC=C2,"InChI=1S/C12H8/c1-3-9-4-2-6-11-8-7-10(5-1)12(9)11/h1-8H
",,,,fraunhofer_235,,,,3.0,No,Yes,Yes,HXGDTGSAIMULJN,,1.0,,,
OASIS1680,DTXSID8020206,1-Chlorobutane,DTXCID00206,109-69-3,VFWCMGCRMGJXDK-UHFFFAOYSA-N,1-Chlorobutane,CCCCCl,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3
",,,,,ice_40,,,3.0,Yes,No,No,VFWCMGCRMGJXDK,,0.0,,,
OASIS349,DTXSID9024437,Allyl acetate,DTXCID904437,591-87-7,FWZUNOYOVVKUNF-UHFFFAOYSA-N,Prop-2-en-1-yl acetate,CC(=O)OCC=C,"InChI=1S/C5H8O2/c1-3-4-7-5(2)6/h3H,1,4H2,2H3
",,,,fraunhofer_226,ice_68,,,3.0,Yes,No,No,FWZUNOYOVVKUNF,,1.0,,,1.0
OASIS1626,DTXSID7021073,Ochratoxin A,DTXCID401073,303-47-9,RWQKHEORZBHNRI-BMIGLBTASA-N,"N-[(3R)-5-Chloro-8-hydroxy-3-methyl-1-oxo-3,4-dihydro-1H-2-benzopyran-7-carbonyl]-L-phenylalanine",C[C@@H]1CC2=C(C(=O)O1)C(O)=C(C=C2Cl)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,"InChI=1S/C20H18ClNO6/c1-10-7-12-14(21)9-13(17(23)16(12)20(27)28-10)18(24)22-15(19(25)26)8-11-5-3-2-4-6-11/h2-6,9-10,15,23H,7-8H2,1H3,(H,22,24)(H,25,26)/t10-,15+/m1/s1
",,,,,ice_59,,,3.0,No,No,Yes,RWQKHEORZBHNRI,,,,,1.0
OASIS1791,DTXSID30870359,Gabapentin enacarbil,DTXCID30818094,478296-72-9,TZDUHAJSIBHXDL-UHFFFAOYSA-N,(1-{[({1-[(2-Methylpropanoyl)oxy]ethoxy}carbonyl)amino]methyl}cyclohexyl)acetic acid,CC(C)C(=O)OC(C)OC(=O)NCC1(CC(O)=O)CCCCC1,"InChI=1/C16H27NO6/c1-11(2)14(20)22-12(3)23-15(21)17-10-16(9-13(18)19)7-5-4-6-8-16/h11-12H,4-10H2,1-3H3,(H,17,21)(H,18,19)
",,dilirank2_71,,,,,,4.0,No,No,Yes,TZDUHAJSIBHXDL,,,,1.0,1.0
